dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3
face,homo,CBCC_C=2,-sigma,3,3,0,-1,0.6541095890410958,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,3,0,-1,0.6284246575342466,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,3,0,-1,0.6078767123287672,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,3,1,-1,0.6541095890410958,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,3,1,-1,0.660958904109589,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,3,1,-1,0.6078767123287672,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,3,2,-1,0.6541095890410958,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,3,2,-1,0.6575342465753424,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,3,2,-1,0.6113013698630136,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,3,3,-1,0.6541095890410958,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,3,3,-1,0.660958904109589,0.9657534246575342,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,3,3,-1,0.6113013698630136,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,3,4,-1,0.6541095890410958,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,3,4,-1,0.6541095890410958,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,3,4,-1,0.6078767123287672,0.9726027397260274,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,6,0,-1,0.8202054794520548,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,6,0,-1,0.773972602739726,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,6,0,-1,0.815068493150685,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,6,1,-1,0.7842465753424658,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,6,1,-1,0.7842465753424658,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,6,1,-1,0.773972602739726,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,6,2,-1,0.8184931506849316,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,6,2,-1,0.8202054794520548,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,6,2,-1,0.8202054794520548,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,6,3,-1,0.8184931506849316,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,6,3,-1,0.8184931506849316,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,6,3,-1,0.7893835616438356,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,6,4,-1,0.7842465753424658,0.958904109589041,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,6,4,-1,0.815068493150685,0.9315068493150684,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,6,4,-1,0.8184931506849316,0.9383561643835616,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,9,0,-1,0.2688356164383562,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,9,0,-1,0.2688356164383562,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,9,0,-1,0.2688356164383562,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,9,1,-1,0.2688356164383562,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,9,1,-1,0.2688356164383562,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,9,1,-1,0.2705479452054795,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,9,2,-1,0.2688356164383562,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,9,2,-1,0.2688356164383562,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,9,2,-1,0.2688356164383562,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,9,3,-1,0.2688356164383562,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,9,3,-1,0.2688356164383562,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,9,3,-1,0.2688356164383562,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,9,4,-1,0.2688356164383562,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,9,4,-1,0.2688356164383562,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,9,4,-1,0.2688356164383562,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,12,0,-1,0.2482876712328767,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,12,0,-1,0.2482876712328767,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,12,0,-1,0.2482876712328767,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,12,1,-1,0.2482876712328767,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,12,1,-1,0.2482876712328767,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,12,1,-1,0.2482876712328767,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,12,2,-1,0.2482876712328767,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,12,2,-1,0.2482876712328767,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,12,2,-1,0.2482876712328767,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,12,3,-1,0.2482876712328767,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,12,3,-1,0.2482876712328767,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,12,3,-1,0.2482876712328767,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,12,4,-1,0.2482876712328767,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,12,4,-1,0.2482876712328767,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,12,4,-1,0.2482876712328767,0.9452054794520548,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,15,0,-1,0.008561643835616438,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,15,0,-1,0.017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,15,0,-1,0.008561643835616438,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,15,1,-1,0.008561643835616438,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,15,1,-1,0.017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,15,1,-1,0.017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,15,2,-1,0.008561643835616438,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,15,2,-1,0.008561643835616438,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,15,2,-1,0.017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,15,3,-1,0.008561643835616438,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,15,3,-1,0.017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,15,3,-1,0.017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,15,4,-1,0.008561643835616438,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,15,4,-1,0.017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,15,4,-1,0.017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,18,0,-1,0.011986301369863013,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,18,0,-1,0.008561643835616438,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,18,0,-1,0.005136986301369863,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,18,1,-1,0.015410958904109588,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,18,1,-1,0.005136986301369863,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,18,1,-1,0.005136986301369863,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,18,2,-1,0.015410958904109588,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,18,2,-1,0.005136986301369863,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,18,2,-1,0.005136986301369863,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,18,3,-1,0.017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,18,3,-1,0.005136986301369863,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,18,3,-1,0.005136986301369863,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,18,4,-1,0.015410958904109588,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,18,4,-1,0.005136986301369863,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,18,4,-1,0.005136986301369863,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,21,0,-1,0.005136986301369863,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,21,0,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,21,0,-1,0.003424657534246575,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,21,1,-1,0.010273972602739725,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,21,1,-1,0.003424657534246575,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,21,1,-1,0.003424657534246575,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,21,2,-1,0.010273972602739725,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,21,2,-1,0.003424657534246575,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,21,2,-1,0.003424657534246575,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,21,3,-1,0.010273972602739725,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,21,3,-1,0.003424657534246575,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,21,3,-1,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,21,4,-1,0.010273972602739725,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,21,4,-1,0.010273972602739725,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,21,4,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,24,0,-1,0.003424657534246575,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,24,0,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,24,0,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,24,1,-1,0.003424657534246575,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,24,1,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,24,1,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,24,2,-1,0.003424657534246575,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,24,2,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,24,2,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,24,3,-1,0.003424657534246575,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,24,3,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,24,3,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,24,4,-1,0.003424657534246575,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,24,4,-1,0.003424657534246575,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,24,4,-1,0.005136986301369863,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,27,0,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,27,0,-1,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,27,0,-1,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,27,1,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,27,1,-1,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,27,1,-1,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,27,2,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,27,2,-1,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,27,2,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,27,3,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,27,3,-1,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,27,3,-1,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,27,4,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,27,4,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,27,4,-1,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,30,0,-1,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,30,0,-1,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,30,0,-1,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,30,1,-1,0.003424657534246575,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,30,1,-1,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,30,1,-1,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,30,2,-1,0.003424657534246575,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,30,2,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,30,2,-1,0.0017123287671232876,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,30,3,-1,0.003424657534246575,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,30,3,-1,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,30,3,-1,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=2,-sigma,3,30,4,-1,0.003424657534246575,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=4,-sigma,3,30,4,-1,0.003424657534246575,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
face,homo,CBCC_C=8,-sigma,3,30,4,-1,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1
